Текст,Истинный класс,Предсказанный класс,Уверенность,Верно?
find me a recipe for lasagna,search,directions,0.17853715,False
what's the capital of France,search,weather,0.28983542,False
set an alarm for my dentist appointment,alarm,alarm,0.8695045,True
wake me up at 7 am,alarm,alarm,0.80144894,True
remind me to buy milk tomorrow at 8am,reminder,alarm,0.43005386,False
set a reminder to water the plants,reminder,reminder,0.67227316,True
turn off the lights in the living room,smart_home,smart_home,0.78215736,True
set thermostat to 22 degrees,smart_home,smart_home,0.6867078,True
how do I get to the nearest coffee shop,directions,directions,0.8944731,True
navigate to Central Park,directions,directions,0.84028465,True
play some relaxing jazz music,play_music,play_music,0.8015526,True
shuffle my workout playlist,play_music,play_music,0.80976707,True
do I need an umbrella this weekend,weather,calendar,0.27832818,False
what's the temperature in Chicago,weather,weather,0.8063029,True
what are the latest sports news,news,weather,0.6684556,False
tell me the top headlines,news,reminder,0.27730155,False
add meeting to my calendar for Friday,calendar,calendar,0.87486243,True
what's on my schedule today,calendar,calendar,0.6669707,True
translate hello to Spanish,translate,translate,0.85100186,True
how do you say thank you in French,translate,translate,0.8587984,True
look up flights to London,search,directions,0.8308457,False
